trip_id,arrival_time,departure_time,stop_id,stop_sequence
250-1@1#1005,,,1782,28
250-1@1#1005,,,1780,29
250-1@1#1005,,,1788,30
250-1@1#1005,,,1792,31
250-1@1#1005,,,5456,32
250-1@1#1005,,,5453,33
250-1@1#1005,,,2079,34
250-1@1#1005,,,5839,35
250-1@1#1005,,,2076,36
250-1@1#1005,,,5840,37
250-1@1#1005,,,2074,38
250-1@1#1005,,,1630,39
250-1@1#1005,,,1625,40
250-1@1#1005,,,5842,41
250-1@1#1005,10:40:00,10:40:00,5329,42
250-1@1#1030,10:30:00,10:30:00,5742,1
250-1@1#1030,,,2472,2
250-1@1#1030,,,2471,3
250-1@1#1030,,,2469,4
250-1@1#1030,,,5988,5
250-1@1#1030,,,1317,6
250-1@1#1030,,,1320,7
250-1@1#1030,,,1318,8
250-1@1#1030,,,1312,9
250-1@1#1030,,,1311,10
250-1@1#1030,,,5198,11
250-1@1#1030,,,1299,12
250-1@1#1030,,,1295,13
250-1@1#1030,,,1289,14
250-1@1#1030,,,1874,15
250-1@1#1030,,,1870,16
250-1@1#1030,,,1880,17
250-1@1#1030,,,1747,18
250-1@1#1030,,,1751,19
250-1@1#1030,,,1764,20
250-1@1#1030,,,1766,21
250-1@1#1030,,,1752,22
250-1@1#1030,,,1756,23
250-1@1#1030,,,1730,24
250-1@1#1030,,,5181,25
250-1@1#1030,,,1784,26
250-1@1#1030,,,1786,27
250-1@1#1030,,,1782,28
250-1@1#1030,,,1780,29
250-1@1#1030,,,1788,30
250-1@1#1030,,,1792,31
250-1@1#1030,,,5456,32
250-1@1#1030,,,5453,33
250-1@1#1030,,,2079,34
250-1@1#1030,,,5839,35
250-1@1#1030,,,2076,36
250-1@1#1030,,,5840,37
250-1@1#1030,,,2074,38
250-1@1#1030,,,1630,39
250-1@1#1030,,,1625,40
250-1@1#1030,,,5842,41
250-1@1#1030,11:05:00,11:05:00,5329,42
250-1@1#1055,10:55:00,10:55:00,5742,1
250-1@1#1055,,,2472,2
250-1@1#1055,,,2471,3
250-1@1#1055,,,2469,4
250-1@1#1055,,,5988,5
250-1@1#1055,,,1317,6
250-1@1#1055,,,1320,7
250-1@1#1055,,,1318,8
250-1@1#1055,,,1312,9
250-1@1#1055,,,1311,10
250-1@1#1055,,,5198,11
250-1@1#1055,,,1299,12
250-1@1#1055,,,1295,13
250-1@1#1055,,,1289,14
250-1@1#1055,,,1874,15
250-1@1#1055,,,1870,16
250-1@1#1055,,,1880,17
250-1@1#1055,,,1747,18
250-1@1#1055,,,1751,19
250-1@1#1055,,,1764,20
250-1@1#1055,,,1766,21
250-1@1#1055,,,1752,22
250-1@1#1055,,,1756,23
250-1@1#1055,,,1730,24
250-1@1#1055,,,5181,25
250-1@1#1055,,,1784,26
250-1@1#1055,,,1786,27
250-1@1#1055,,,1782,28
250-1@1#1055,,,1780,29
250-1@1#1055,,,1788,30
250-1@1#1055,,,1792,31
250-1@1#1055,,,5456,32
250-1@1#1055,,,5453,33
250-1@1#1055,,,2079,34
250-1@1#1055,,,5839,35
250-1@1#1055,,,2076,36
250-1@1#1055,,,5840,37
250-1@1#1055,,,2074,38
250-1@1#1055,,,1630,39
250-1@1#1055,,,1625,40
250-1@1#1055,,,5842,41
